Donor_ID,coverage,Percentage
PD43947h_lo0181,24.16,97.764652
PD43947h_lo0182,23.07,98.155147
PD43947h_lo0184,23.21,97.871288
PD43947h_lo0188,23.8,96.775423
PD43947h_lo0189,21.84,94.500149
PD43947h_lo0190,22.01,97.066122
PD43947h_lo0191,24.81,97.714546
PD43947h_lo0192,21.56,97.131924
PD43947h_lo0193,20.51,97.584391
PD43947h_lo0194,18.32,96.906624
PD43947h_lo0195,14.52,79.467308
PD43947h_lo0196,19.65,96.14701
PD43947h_lo0197,20.22,97.353144
PD43947h_lo0198,20.5,96.071378
PD43947h_lo0199,20.61,93.714953
PD43947h_lo0200,18.78,97.722827
PD43947h_lo0201,23.21,95.772677
PD43947h_lo0202,27.09,97.053058
PD43947h_lo0203,24.86,94.401071
PD43947h_lo0204,24.4,97.845879
PD43947h_lo0206,28.85,97.849462
PD43947h_lo0207,25.7,97.455165
PD43947h_lo0208,28.51,96.448656
PD43947h_lo0209,20.03,97.992806
PD43947h_lo0210,18.57,92.957619
PD43947h_lo0211,23.61,97.639237
PD43947h_lo0212,25.91,95.582776
PD43947h_lo0213,22.61,95.711997
PD43947h_lo0214,23.07,97.968359
PD43947h_lo0215,19.5,92.695605
PD43947h_lo0216,24.75,97.462337
PD43947h_lo0217,25.51,97.574557
PD43947h_lo0218,17,85.33852
PD43947h_lo0219,23.58,97.103079
PD43947h_lo0220,22.14,95.234108
PD43947h_lo0221,21.45,97.380379
PD43947h_lo0222,19.18,95.89638
PD43947h_lo0223,21.72,95.103637
PD43947h_lo0224,19.52,89.636531
PD43947h_lo0225,17.75,96.178655
PD43947h_lo0226,25.58,95.591071
PD43947h_lo0227,25.17,97.854836
PD43947h_lo0228,20.23,96.578231
PD43947h_lo0229,27.33,97.475336
PD43947h_lo0230,24.05,95.693935
PD43947h_lo0231,25.1,97.92924
PD43947h_lo0232,25.09,96.843229
PD43947h_lo0233,19.63,96.429071
PD43947h_lo0234,23.25,92.809536
PD43947h_lo0235,23.41,97.352202
PD43947h_lo0236,27.42,96.917895
PD43947h_lo0237,25.63,95.630829
PD43947h_lo0238,23.26,97.751388
PD43947h_lo0239,20.57,91.649584
PD43947h_lo0240,27.38,96.250897
PD43947h_lo0241,24.56,97.330185
PD43947h_lo0242,19.3,91.480954
PD43947h_lo0243,20.79,96.630372
PD43947h_lo0245,22.6,96.372786
PD43947h_lo0246,24.4,97.122699
